location_id,date,mean,upper,lower,location_name
555,2020-06-07,0.7042039741317,0.784076533507445,0.622965757230093,New York
555,2020-06-08,0.705513712440268,0.786825735546499,0.622954786230881,New York
555,2020-06-09,0.708141908393006,0.78946081348391,0.624917233101654,New York
555,2020-06-10,0.712106382300123,0.793538319652465,0.629992010732978,New York
555,2020-06-11,0.717382015055616,0.798658364604236,0.63372841379749,New York
555,2020-06-12,0.723894259460252,0.80551359144141,0.64200084410441,New York
555,2020-06-13,0.731514556053952,0.812016385116436,0.647624075353219,New York
555,2020-06-14,0.740059632872237,0.819338396560224,0.654090886125846,New York
555,2020-06-15,0.749300234010207,0.828312307515625,0.663775561745555,New York
555,2020-06-16,0.758971110485164,0.839494039238285,0.672974044945105,New York
555,2020-06-17,0.768786590285044,0.849787426079167,0.683015777209241,New York
555,2020-06-18,0.778459726519798,0.858801769029723,0.69257791163764,New York
555,2020-06-19,0.787715183664132,0.86818689744382,0.700196905887716,New York
555,2020-06-20,0.796297324568903,0.876984984727259,0.710238962461838,New York
555,2020-06-21,0.803977190292658,0.884821188664174,0.717040745451053,New York
555,2020-06-22,0.810558130068383,0.892135733638017,0.725445374949621,New York
555,2020-06-23,0.815880342114314,0.899113642264487,0.730533071093648,New York
555,2020-06-24,0.819826280585792,0.902385246680168,0.73496741634779,New York
555,2020-06-25,0.822322028553537,0.904184958912997,0.739776006377867,New York
555,2020-06-26,0.823339875717965,0.900945734660096,0.741857966730158,New York
555,2020-06-27,0.822894381350447,0.901640526602015,0.741327036014397,New York
555,2020-06-28,0.821036234738996,0.898981397763108,0.742390441333948,New York
555,2020-06-29,0.817845126552978,0.896326799664307,0.742608932760942,New York
555,2020-06-30,0.813425949833823,0.891303409310101,0.737708616668043,New York
555,2020-07-01,0.807905255066997,0.887413744357702,0.73007726792174,New York
555,2020-07-02,0.80142484733834,0.884257987019579,0.723773654759634,New York
555,2020-07-03,0.794133871083007,0.877748057915488,0.716506297716074,New York
555,2020-07-04,0.786184801776057,0.870922154277089,0.70586384464737,New York
555,2020-07-05,0.777732656298249,0.862476850069607,0.698496809507207,New York
555,2020-07-06,0.768938562542708,0.852572890836615,0.68939720594365,New York
555,2020-07-07,0.759977312817636,0.843671059835747,0.682206823458282,New York
555,2020-07-08,0.751042553395899,0.834333343025909,0.673543974365776,New York
555,2020-07-09,0.742348832409597,0.824518231426821,0.667390441336016,New York
555,2020-07-10,0.734125351368206,0.815064188782973,0.65964188977153,New York
555,2020-07-11,0.726609263335789,0.804363274247182,0.654413442329831,New York
555,2020-07-12,0.720033274302201,0.798756442058591,0.648162640133054,New York
555,2020-07-13,0.714618826271313,0.789139410262526,0.643155127600824,New York
555,2020-07-14,0.710570146730686,0.785438359583634,0.639537430425052,New York
555,2020-07-15,0.708071267653583,0.782611175801557,0.639216371695903,New York
555,2020-07-16,0.707287310413254,0.780077525151184,0.636125639056946,New York
555,2020-07-17,0.708364558913826,0.780164778674842,0.636154295230905,New York
555,2020-07-18,0.711429173905304,0.786101139368398,0.636791330637358,New York
555,2020-07-19,0.71658447902604,0.79454438724908,0.638634755071097,New York
555,2020-07-20,0.723903294771832,0.803459922097701,0.644227997360495,New York
555,2020-07-21,0.733412448579437,0.812617110245426,0.651966467304535,New York
555,2020-07-22,0.745074786527881,0.824617995828437,0.656783139269103,New York
555,2020-07-23,0.758770057022877,0.841140685630459,0.670180020104539,New York
555,2020-07-24,0.774281461371201,0.858837080923051,0.684393287166426,New York
555,2020-07-25,0.791293119880668,0.88104319393063,0.697511240285605,New York
555,2020-07-26,0.809402015202987,0.903198076017947,0.715154268304683,New York
555,2020-07-27,0.828130855403026,0.923096965734467,0.733542514907865,New York
555,2020-07-28,0.846949248989212,0.942536861824309,0.753905706500864,New York
555,2020-07-29,0.865297283095497,0.958763059436743,0.775048213199763,New York
555,2020-07-30,0.882615808351654,0.977920877178681,0.79235490724499,New York
555,2020-07-31,0.89837313272156,0.9913206716715,0.807790877139776,New York
555,2020-08-01,0.912093665669174,1.00327752080454,0.825565206930446,New York
555,2020-08-02,0.923380705309779,1.01194020394305,0.838169477813656,New York
555,2020-08-03,0.931930602683163,1.02046169244144,0.846316641901393,New York
555,2020-08-04,0.937548419361481,1.02384315283293,0.855470921859176,New York
555,2020-08-05,0.940166043821585,1.02626725765506,0.857977360806941,New York
555,2020-08-06,0.939847579601728,1.02570210899706,0.861038771348468,New York
555,2020-08-07,0.936789161496798,1.02434448877651,0.857466315548357,New York
555,2020-08-08,0.93132175636334,1.01957302977774,0.849395701898626,New York
555,2020-08-09,0.923886501111735,1.01044480363068,0.842802821328323,New York
555,2020-08-10,0.914988028750637,0.999861684786132,0.835841352973812,New York
555,2020-08-11,0.905155760006344,0.990819510922243,0.827707627407004,New York
555,2020-08-12,0.894908496024291,0.977572931725654,0.818924212256819,New York
555,2020-08-13,0.884715733516917,0.96766496723698,0.809492022295858,New York
555,2020-08-14,0.87498394425537,0.955943557508796,0.798309763597517,New York
555,2020-08-15,0.866066279085888,0.946253856637243,0.789469116309808,New York
555,2020-08-16,0.858270905998885,0.940738914410034,0.783230598201211,New York
555,2020-08-17,0.8518647097032,0.935109903273678,0.778168838409004,New York
555,2020-08-18,0.84707851882937,0.930007162291056,0.77360444027369,New York
555,2020-08-19,0.844112872689103,0.927356641116126,0.769937133327622,New York
555,2020-08-20,0.843139915030139,0.926728603221841,0.765797309679638,New York
555,2020-08-21,0.844301594271719,0.933625491384744,0.763359234260642,New York
555,2020-08-22,0.847706556567053,0.944637703950845,0.765270446071126,New York
555,2020-08-23,0.853430137325417,0.961103183584921,0.768786202544452,New York
555,2020-08-24,0.861515769770234,0.981251145663366,0.77418238020431,New York
555,2020-08-25,0.871980339429756,0.998601942742232,0.779492713670815,New York
555,2020-08-26,0.884825913124798,1.02369136152556,0.788024079005775,New York
555,2020-08-27,0.900050391789501,1.05655574459945,0.794350348845161,New York
555,2020-08-28,0.917655129833263,1.08897678852915,0.807883017744963,New York
555,2020-08-29,0.937653304696303,1.11401285194723,0.819549503561492,New York
555,2020-08-30,0.959973347129851,1.15789585392333,0.829547299563169,New York
555,2020-08-31,0.984258731617501,1.19285474194753,0.844068081566379,New York
555,2020-09-01,1.00983723919879,1.23435086414073,0.85887333300448,New York
555,2020-09-02,1.03588527818844,1.26355049637213,0.872844056633481,New York
555,2020-09-03,1.06142408821959,1.2868383097073,0.887790391031281,New York
555,2020-09-04,1.08544785367896,1.3088000916647,0.905398871898135,New York
555,2020-09-05,1.10719482523264,1.32887312760858,0.923227648605637,New York
555,2020-09-06,1.12621491194547,1.34482991907573,0.941178176791247,New York
555,2020-09-07,1.14231829424287,1.35494237161694,0.957723861693921,New York
555,2020-09-08,1.15516641954983,1.3719822330232,0.969966516329076,New York
555,2020-09-09,1.16492964352738,1.37951513967458,0.979671787993832,New York
555,2020-09-10,1.17198973168664,1.38630534520226,0.985540700234433,New York
555,2020-09-11,1.17711202438789,1.39215630669075,0.991326816465727,New York
555,2020-09-12,1.18053749685645,1.396627628113,0.992518736377787,New York
555,2020-09-13,1.18253875103998,1.39912212429373,0.994248354665051,New York
555,2020-09-14,1.18340637639743,1.40105879664545,0.995844270428297,New York
555,2020-09-15,1.18320002773717,1.39778883966791,0.99723057571795,New York
555,2020-09-16,1.18086907441765,1.39017618222032,0.997045728852409,New York
555,2020-09-17,1.177689419096,1.38428966123198,0.995771769199004,New York
555,2020-09-18,1.17519998408556,1.37997751451733,0.995184408383752,New York
555,2020-09-19,1.17223861497691,1.37623194014779,0.994393478459185,New York
555,2020-09-20,1.16912454130488,1.37382354413493,0.995490014752093,New York
555,2020-09-21,1.16597798368857,1.36988715006002,0.996711182036648,New York
555,2020-09-22,1.16283805801038,1.36860293378792,0.996569971228058,New York
555,2020-09-23,1.15681532255088,1.36303790851346,0.994287058752305,New York
555,2020-09-24,1.15162497430734,1.35665500238573,0.99256722909016,New York
555,2020-09-25,1.14862430275268,1.34874182837749,0.992566154679918,New York
555,2020-09-26,1.14569140047501,1.34293738902144,0.99259318492881,New York
555,2020-09-27,1.14282702701303,1.33866215502548,0.993215939090261,New York
555,2020-09-28,1.14003488517546,1.33572223327485,0.994168578052228,New York
555,2020-09-29,1.1372613042216,1.32932718438217,0.994028417740381,New York
555,2020-09-30,1.13326578245541,1.32183971205698,0.991423230187172,New York
555,2020-10-01,1.12947637070731,1.31779123513047,0.991155185666982,New York
555,2020-10-02,1.12755505827864,1.31670003548877,0.991891501391309,New York
555,2020-10-03,1.12564330693028,1.31340965961739,0.992380536546743,New York
555,2020-10-04,1.12373692631983,1.31427086667938,0.990989467817139,New York
555,2020-10-05,1.12183330151654,1.31459459058313,0.990906501640596,New York
555,2020-10-06,1.11993081468429,1.31312425353882,0.990504397975522,New York
555,2020-10-07,1.11619671709117,1.30959396525457,0.986273000385955,New York
555,2020-10-08,1.11357179192756,1.30664711512592,0.983027129908434,New York
555,2020-10-09,1.11292731621681,1.30602302060507,0.982506322566764,New York
555,2020-10-10,1.11228074874765,1.30724295129737,0.983311390801048,New York
555,2020-10-11,1.11162703867411,1.31042858842709,0.982968841875458,New York
555,2020-10-12,1.11096308586899,1.31007283137136,0.981123589320532,New York
555,2020-10-13,1.11028701594072,1.31004589456014,0.980974314148787,New York
555,2020-10-14,1.10762968701183,1.31174149334386,0.978618621000929,New York
555,2020-10-15,1.10509966670241,1.3094918264827,0.975353640110541,New York
555,2020-10-16,1.10464896167044,1.30848311911082,0.973417258734207,New York
555,2020-10-17,1.10418839440764,1.30790196757334,0.972256905305489,New York
555,2020-10-18,1.10371397391129,1.30691513615924,0.971169244359538,New York
555,2020-10-19,1.10322313808452,1.30693484141927,0.968784508121408,New York
555,2020-10-20,1.10284996754406,1.30562761219682,0.965700963826274,New York
555,2020-10-21,1.10062952810141,1.30630011397488,0.962458314129696,New York
555,2020-10-22,1.09884620768982,1.30728891377153,0.958711139354848,New York
555,2020-10-23,1.09968046053773,1.30869938835301,0.96251523368113,New York
555,2020-10-24,1.10108184704858,1.30859523375954,0.964918867656053,New York
555,2020-10-25,1.10319314569506,1.3086977711882,0.967630807925824,New York
555,2020-10-26,1.10588278890832,1.31267826569366,0.970350682451796,New York
555,2020-10-27,1.10908295993784,1.31572757684079,0.973626666519755,New York
555,2020-10-28,1.11048360785134,1.31769617863257,0.975077236238376,New York
555,2020-10-29,1.11226002296726,1.31959283847541,0.97655900817934,New York
555,2020-10-30,1.11645882664395,1.32494497607704,0.979919752685176,New York
555,2020-10-31,1.12075532582932,1.33051289433459,0.983251349312032,New York
555,2020-11-01,1.12502865793388,1.33600218988982,0.986543732451855,New York
555,2020-11-02,1.12927452860629,1.34140450428366,0.990312611182411,New York
555,2020-11-03,1.13349004702938,1.34671100603383,0.993667939651234,New York
555,2020-11-04,1.13536443477699,1.34899397987154,0.995166593396065,New York
555,2020-11-05,1.13627508186535,1.34761794520355,0.995757846369452,New York
555,2020-11-06,1.14017222920936,1.35112449140865,0.998497611571133,New York
555,2020-11-07,1.14350689267379,1.35255583824641,1.00089679727069,New York
555,2020-11-08,1.14600895491785,1.35630033145674,1.00020520607171,New York
555,2020-11-09,1.1496455776697,1.36300882780157,1.00341788308625,New York
555,2020-11-10,1.15370791107724,1.36767746319105,1.00669153619992,New York
555,2020-11-11,1.15487429665996,1.36932604471514,1.00711339463822,New York
555,2020-11-12,1.15596930368058,1.36962532908517,1.00784563320596,New York
555,2020-11-13,1.15884241993399,1.3668084673603,1.00724326329321,New York
555,2020-11-14,1.15925379620631,1.36772656107011,0.996393481163743,New York
555,2020-11-15,1.16083172513975,1.36467011548945,0.955353259722147,New York
555,2020-11-16,1.1619352200563,1.37154142475707,0.903293567999651,New York
555,2020-11-17,1.16531841373584,1.37990383626999,0.901263084265497,New York
555,2020-11-18,1.1657296222202,1.37550403929675,0.897301154315192,New York
555,2020-11-19,1.16607396786541,1.37780618315256,0.890384193775325,New York
555,2020-11-20,1.16831660671928,1.38599005209822,0.878019495719527,New York
555,2020-11-21,1.16902198948027,1.3889069357842,0.86845867040619,New York
555,2020-11-22,1.17162709803138,1.39586463010072,0.867235853986925,New York
555,2020-11-23,1.17284371566402,1.40016378726085,0.864145968736507,New York
555,2020-11-24,1.17382695249992,1.40740580712304,0.865713006912202,New York
555,2020-11-25,1.17356080246174,1.41059368882727,0.863533977519528,New York
555,2020-11-26,1.16853075719052,1.40500707642666,0.843061372858976,New York
555,2020-11-27,1.16736104235142,1.40625259052997,0.836071055578536,New York
555,2020-11-28,1.16687676922401,1.40594242229007,0.833122537087249,New York
555,2020-11-29,1.16642756056658,1.41234071051786,0.828853541586907,New York
555,2020-11-30,1.16596841626178,1.41566717292181,0.825439736929491,New York
555,2020-12-01,1.16443102563597,1.41925158929612,0.812186187717083,New York
555,2020-12-02,1.16125330229875,1.41057695946418,0.811530218086441,New York
555,2020-12-03,1.15630961909317,1.41370151517956,0.802408600476785,New York
555,2020-12-04,1.15411491613314,1.41393526184508,0.799915726848164,New York
555,2020-12-05,1.15082912324226,1.41423224341333,0.791951249161096,New York
555,2020-12-06,1.1484973065438,1.41485878002625,0.792617169190492,New York
555,2020-12-07,1.14562145941246,1.41973429057268,0.790885672639488,New York
555,2020-12-08,1.14317862422468,1.42501725800718,0.78891812466762,New York
555,2020-12-09,1.13978976949943,1.42463638710221,0.790153384216545,New York
555,2020-12-10,1.13488546820339,1.42337313593886,0.788518856882035,New York
555,2020-12-11,1.1272064649905,1.42449322842004,0.7853705071073,New York
555,2020-12-12,1.12172418785967,1.42201000922996,0.785281170100629,New York
